gene,outcome,coloc_source,PP_H4,cond_H4,nsnp,status
AHSG,CAD,UKB-PPP,0.008,0.359,647,ok
AHSG,HF,UKB-PPP,0.008,0.503,612,ok
AHSG,AF,UKB-PPP,0.004,0.074,995,ok
AHSG,CAC,UKB-PPP,0.022,0.479,661,ok
AHSG,AIS,UKB-PPP,0.004,0.04,595,ok
AHSG,CES,UKB-PPP,0.008,0.046,550,ok
AHSG,LAS,UKB-PPP,0.014,0.576,475,ok
AHSG,SVS,UKB-PPP,0.012,0.392,496,ok
AHSG,FG_CHD,UKB-PPP,0.003,0.026,897,ok
AHSG,FG_HF,UKB-PPP,0.057,0.355,897,ok
AHSG,FG_AF,UKB-PPP,0.076,0.679,897,ok
AHSG,FG_stroke,UKB-PPP,0.026,0.374,897,ok
KL,CAD,deCODE,0.021,0.509,700,ok
KL,HF,deCODE,0.01,0.597,610,ok
KL,AF,deCODE,0.02,0.242,1238,ok
KL,CAC,deCODE,0.084,0.71,715,ok
KL,AIS,deCODE,0.01,0.425,609,ok
KL,CES,deCODE,0.021,0.684,524,ok
KL,LAS,deCODE,0.025,0.627,474,ok
KL,SVS,deCODE,0.028,0.25,467,ok
KL,FG_CHD,deCODE,0.005,0.108,1044,ok
KL,FG_HF,deCODE,0.009,0.136,1044,ok
KL,FG_AF,deCODE,0.008,0.186,1044,ok
KL,FG_stroke,deCODE,0.007,0.066,1044,ok
MGP,CAD,deCODE,0.013,0.428,566,ok
MGP,HF,deCODE,0.015,0.637,541,ok
MGP,AF,deCODE,0.006,0.084,1181,ok
MGP,CAC,deCODE,0.049,0.726,583,ok
MGP,AIS,deCODE,0.004,0.415,538,ok
MGP,CES,deCODE,0.009,0.551,491,ok
MGP,LAS,deCODE,0.012,0.565,440,ok
MGP,SVS,deCODE,0.011,0.227,450,ok
MGP,FG_CHD,deCODE,0.004,0.133,955,ok
MGP,FG_HF,deCODE,0.004,0.116,955,ok
MGP,FG_AF,deCODE,0.053,0.471,955,ok
MGP,FG_stroke,deCODE,0.005,0.171,955,ok
